thus asi
latter último
dealing tratar
foremost principal
underlying subyacente
proficient competente
reaches alcanza
patience paciencia
headstrong voluntarioso
somewhat algo
fade esfumarse
truly verdaderamente
realm reino
reckoned contado
charting graficos
gauges medidores
drillable perforable
agreement acuerdo
samples muestras
diving buceo
snippets fragmentos
merchandise mercancias
invoice factura
remainder resto
deploys despliega
overwhelming abrumador
afterward despues
workflow flujo de trabajo
